Name,Latitude,Longitude
North Era campground,-34.1770226815978,151.05652387086
Private Town campground,-34.1157932289999,150.210499459
Forest Tops campground,-28.3875234266665,153.063873026667
Illaroo group camping area,-29.7552155526001,153.291104940596
Little Mountain campground,-32.6055238333332,151.94687812
Dalmorton campground,-29.8646632266695,152.448368540001
Saltwater Creek campground,-37.1693028290999,149.999953511742
Tia Falls campground,-31.1602670533351,151.853491906667
Rivermouth campground,-32.5180767133332,152.24910664
Wallingat River campground,-32.3277076866666,152.40284662
Long Point campground and picnic area,-30.6662292400021,151.93677236
Mann River campground and picnic area,-29.6879616666695,152.099355
Perrys lookdown campground,-33.5993448333325,150.345189113327
Gentlemans Halt campground,-33.4658525533332,151.153046166667
Coree campground,-35.2971311599999,148.807588693334
Hobart Beach campground,-36.7969369199998,149.939975253334
Mount Werong campground,-34.0799083866665,149.927051053333
Pebbly Beach campground,-35.6069083333331,150.326096666667
Wog Wog campground,-35.2682428333331,150.035568446667
Freemans campground,-33.2006679999998,151.603868666667
Tattersalls campground,-32.5858688777455,151.967163536118
Murphys Glen campground,-33.7687561666656,150.485848553329
Meroo Head campground,-35.4759409500346,150.390327924204
Dingo Tops campground,-31.6666464466665,152.143454553334
Ingar campground,-33.7707972799989,150.463536386662
Gloucester River campground,-32.0585001733333,151.683530800001
Bonnie Vale campground,-34.0833895110626,151.1359150634
The Junction campground,-30.0699130333361,152.756921246667
Sandon River campground,-29.6747397933363,153.327246040001
Woperana campground,-35.8109545949299,145.483023437489
Gum Hole campground and picnic area,-30.5624394133331,150.931727306667
Lake Eckersley campground,-34.0959868166035,150.976244709829
Cod Hole campground and picnic area,-30.133289133336,152.704280280001
Boorkoom campground,-29.8199094000028,153.291289846667
Washpools campground,-31.9024383399999,150.785457653334
Banksia Green campground,-32.5497551666665,152.307433886667
Woolshed Flat campground,-34.0814752399999,146.22128684
Shelly Beach campground,-32.4551711466666,152.37846596
Nymboida River campground,-29.712742060003,152.558590266667
Mulwala campground,-35.9666036591572,145.944500805654
Hungry Gate campground,-31.0790820066666,153.04238954
Wombeyan Caves campground,-34.3042728333334,149.9715475
Cawndilla campground,-32.434915586667,142.251728973334
Bummaroo Ford campground,-34.1936173666665,149.743447106667
Flea Creek campground,-35.3387241933333,148.754287926667
Lemon Tree Flat campground,-29.1477466133368,150.991899279999
Gillards campground,-36.660003075182,150.000530293548
Pretty Beach campground,-35.56735786,150.3659869
Woko campground,-31.8009795599999,151.793573980001
Lane Cove River Tourist Park - caravan park,-33.7892722030448,151.143237596051
Woolshed Flat campground,-33.2070451666661,149.958215779983
Bangalow campground,-33.0164569999998,151.425345166667
Mulloon Creek campground,-35.4382728449338,149.570228089812
White Tree Bay campground,-32.5277202399998,152.322436120001
Balor Hut campground,-31.327071666666,148.995784999949
Junction Pools campground,-32.0302409933333,151.443331520001
